Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
136,Kristoffer Peterson,Heracles,23,28(5),2478,7,3,1,-,2.3,79.6,0.8,2,6.78
137,Fankaty Dabo,Vitesse,22,24(3),2119,-,2,3,-,0.1,77.8,0.9,-,6.78
138,Fabian Sporkslede,NAC Breda,24,20(2),1840,-,-,4,-,0.2,83,0.7,-,6.77
139,Morten Thorsby,SC Heerenveen,22,28(5),2469,6,2,5,1,1,79.7,2.9,3,6.76
140,Jeff Hardeveld,Heracles,23,18,1540,2,-,2,-,0.6,77,1.2,-,6.76
141,Sheraldo Becker,ADO Den Haag,23,29,2399,2,7,3,-,1.7,72.6,0.4,2,6.76
142,Mounir El Allouchi,NAC Breda,23,33,2788,3,3,3,-,1.5,83.9,0.7,-,6.75
143,Brahim Darri,Heracles,23,10(7),893,1,3,2,-,1.6,82.3,-,-,6.75
144,Mustafa Saymak,PEC Zwolle,25,31,2735,11,2,2,-,3,75.8,0.4,1,6.75
145,Hidde ter Avest,Twente,21,22,1779,-,-,1,-,0.4,69.3,0.5,-,6.74
146,Sofyan Amrabat,Feyenoord,21,11(10),1190,1,2,4,-,0.8,86.1,1.2,-,6.73
147,Cristian Cuevas,Twente,23,23(1),1968,-,-,10,1,0.4,76.8,0.8,-,6.73
148,Milan Massop,Excelsior,24,26,2158,5,1,4,-,0.5,70.5,1.7,1,6.73
149,Dirk Marcellis,PEC Zwolle,30,27(1),2350,1,-,7,-,0.3,81.8,1.5,-,6.73
150,Yoell van Nieff,FC Groningen,24,16(5),1450,1,3,3,-,0.5,75.1,0.9,-,6.71
141,Sheraldo Becker,ADO Den Haag,23,29,2399,2,7,3,-,1.7,72.6,0.4,2,6.76
142,Mounir El Allouchi,NAC Breda,23,33,2788,3,3,3,-,1.5,83.9,0.7,-,6.75
143,Brahim Darri,Heracles,23,10(7),893,1,3,2,-,1.6,82.3,-,-,6.75
144,Mustafa Saymak,PEC Zwolle,25,31,2735,11,2,2,-,3,75.8,0.4,1,6.75
145,Hidde ter Avest,Twente,21,22,1779,-,-,1,-,0.4,69.3,0.5,-,6.74
146,Sofyan Amrabat,Feyenoord,21,11(10),1190,1,2,4,-,0.8,86.1,1.2,-,6.73
147,Cristian Cuevas,Twente,23,23(1),1968,-,-,10,1,0.4,76.8,0.8,-,6.73
148,Milan Massop,Excelsior,24,26,2158,5,1,4,-,0.5,70.5,1.7,1,6.73
149,Dirk Marcellis,PEC Zwolle,30,27(1),2350,1,-,7,-,0.3,81.8,1.5,-,6.73
150,Yoell van Nieff,FC Groningen,24,16(5),1450,1,3,3,-,0.5,75.1,0.9,-,6.71
151,Navarone Foor,Vitesse,26,31(3),2633,3,4,2,-,1.2,80.9,0.7,-,6.71
152,Joel Drommel,Twente,21,18,1620,-,-,-,-,-,51,0.5,-,6.70
153,Peet Bijen,Twente,23,32,2880,2,1,3,-,0.3,81.1,1.7,-,6.70
154,Tim Breukers,Heracles,30,29(1),2535,1,-,3,1,0.4,74.7,1.2,-,6.69
155,Wout Faes,Excelsior,20,18(1),1573,-,-,3,-,0.1,83,2.3,-,6.69
156,Hidde Jurjus,Roda,24,34,3060,-,-,-,-,-,59,0.1,3,6.69
157,Urby Emanuelson,FC Utrecht,31,22(9),2091,-,3,5,-,1,78.8,0.6,1,6.69
158,Darryl Lachman,Willem II,28,32,2817,-,-,4,1,0.1,78.6,1.9,-,6.69
159,Mohamed El Makrini,Roda,30,23(2),1865,-,-,4,-,0.4,75.3,1,-,6.69
160,Kasper Dolberg,Ajax,20,11(12),1143,6,-,-,-,2,78.1,0.5,-,6.69
151,Navarone Foor,Vitesse,26,31(3),2633,3,4,2,-,1.2,80.9,0.7,-,6.71
152,Joel Drommel,Twente,21,18,1620,-,-,-,-,-,51,0.5,-,6.70
153,Peet Bijen,Twente,23,32,2880,2,1,3,-,0.3,81.1,1.7,-,6.70
154,Tim Breukers,Heracles,30,29(1),2535,1,-,3,1,0.4,74.7,1.2,-,6.69
155,Wout Faes,Excelsior,20,18(1),1573,-,-,3,-,0.1,83,2.3,-,6.69
156,Hidde Jurjus,Roda,24,34,3060,-,-,-,-,-,59,0.1,3,6.69
157,Urby Emanuelson,FC Utrecht,31,22(9),2091,-,3,5,-,1,78.8,0.6,1,6.69
158,Darryl Lachman,Willem II,28,32,2817,-,-,4,1,0.1,78.6,1.9,-,6.69
159,Mohamed El Makrini,Roda,30,23(2),1865,-,-,4,-,0.4,75.3,1,-,6.69
160,Kasper Dolberg,Ajax,20,11(12),1143,6,-,-,-,2,78.1,0.5,-,6.69
161,Freek Heerkens,Willem II,28,28(1),2539,-,1,3,1,0.2,73.3,1.8,-,6.68
162,Ismail Azzaoui,Willem II,20,10(14),1149,4,4,5,-,1,67.6,0.3,-,6.68
163,Elmo Lieftink,Willem II,24,12(9),1183,1,2,2,-,0.3,68.7,1.9,1,6.67
164,Michel Vlap,SC Heerenveen,21,16(8),1397,4,3,1,-,1.4,75.5,1,-,6.66
165,Rico Strieder,FC Utrecht,25,29(2),2476,1,2,6,1,0.4,85,1,2,6.66
166,Sherel Floranus,Sparta Rotterdam,19,21(3),1973,-,3,5,-,0.5,78.7,0.6,1,6.65
167,Bart Ramselaar,PSV Eindhoven,21,18(13),1713,1,2,2,-,0.5,84.2,0.3,-,6.65
168,Nils Roseler,VVV-Venlo,26,34,3053,-,-,2,-,0.5,77.9,2.3,-,6.65
169,Torino Hunte,VVV-Venlo,27,24(8),2017,3,1,3,-,1.1,73.5,1.3,1,6.64
170,Jop van der Linden,Willem II,27,15(3),1355,-,2,1,-,0.2,75.9,1.1,1,6.64
161,Freek Heerkens,Willem II,28,28(1),2539,-,1,3,1,0.2,73.3,1.8,-,6.68
162,Ismail Azzaoui,Willem II,20,10(14),1149,4,4,5,-,1,67.6,0.3,-,6.68
163,Elmo Lieftink,Willem II,24,12(9),1183,1,2,2,-,0.3,68.7,1.9,1,6.67
164,Michel Vlap,SC Heerenveen,21,16(8),1397,4,3,1,-,1.4,75.5,1,-,6.66
165,Rico Strieder,FC Utrecht,25,29(2),2476,1,2,6,1,0.4,85,1,2,6.66
166,Sherel Floranus,Sparta Rotterdam,19,21(3),1973,-,3,5,-,0.5,78.7,0.6,1,6.65
167,Bart Ramselaar,PSV Eindhoven,21,18(13),1713,1,2,2,-,0.5,84.2,0.3,-,6.65
168,Nils Roseler,VVV-Venlo,26,34,3053,-,-,2,-,0.5,77.9,2.3,-,6.65
169,Torino Hunte,VVV-Venlo,27,24(8),2017,3,1,3,-,1.1,73.5,1.3,1,6.64
170,Jop van der Linden,Willem II,27,15(3),1355,-,2,1,-,0.2,75.9,1.1,1,6.64
171,Sander Fischer,Sparta Rotterdam,29,28(1),2523,1,-,8,-,0.7,74.7,2.6,1,6.64
172,Fredrik Jensen,Twente,20,30,2518,5,3,2,-,2.3,73.5,0.9,-,6.63
173,Karol Mets,NAC Breda,25,20(5),1847,-,-,5,-,0.1,86.4,2,-,6.62
174,Cyriel Dessers,FC Utrecht,23,14(18),1437,9,3,3,-,1.2,66.8,1.3,-,6.62
175,Pedro Chirivella,Willem II,21,30(1),2606,-,3,8,-,0.4,81.5,0.5,-,6.62
176,Nicolas Freire,PEC Zwolle,24,12(6),1149,1,2,2,-,0.4,76.1,2.1,1,6.61
177,Tom Boere,Twente,25,27(4),2379,5,4,3,-,1.9,68.4,2.6,-,6.61
178,Ognjen Gnjatic,Roda,26,16(5),1328,-,-,3,-,0.6,78.3,2.7,-,6.61
179,Lars Veldwijk,FC Groningen,26,8(10),878,4,1,-,-,1.4,65.9,1.8,1,6.61
180,Paul Gladon,Heracles,26,17(15),1738,6,-,3,-,1.2,63.6,3.9,1,6.61
171,Sander Fischer,Sparta Rotterdam,29,28(1),2523,1,-,8,-,0.7,74.7,2.6,1,6.64
172,Fredrik Jensen,Twente,20,30,2518,5,3,2,-,2.3,73.5,0.9,-,6.63
173,Karol Mets,NAC Breda,25,20(5),1847,-,-,5,-,0.1,86.4,2,-,6.62
174,Cyriel Dessers,FC Utrecht,23,14(18),1437,9,3,3,-,1.2,66.8,1.3,-,6.62
175,Pedro Chirivella,Willem II,21,30(1),2606,-,3,8,-,0.4,81.5,0.5,-,6.62
176,Nicolas Freire,PEC Zwolle,24,12(6),1149,1,2,2,-,0.4,76.1,2.1,1,6.61
177,Tom Boere,Twente,25,27(4),2379,5,4,3,-,1.9,68.4,2.6,-,6.61
178,Ognjen Gnjatic,Roda,26,16(5),1328,-,-,3,-,0.6,78.3,2.7,-,6.61
179,Lars Veldwijk,FC Groningen,26,8(10),878,4,1,-,-,1.4,65.9,1.8,1,6.61
180,Paul Gladon,Heracles,26,17(15),1738,6,-,3,-,1.2,63.6,3.9,1,6.61
181,Brad Jones,Feyenoord,36,31,2790,-,-,1,-,-,58.8,0.3,-,6.60
182,Joey Pelupessy,Heracles,25,18,1589,-,1,2,-,0.7,87.8,1.8,-,6.60
183,Jerold Promes,VVV-Venlo,34,28(2),2232,1,-,3,1,0.3,82.8,1.8,-,6.60
184,Piotr Parzyszek,PEC Zwolle,24,15(8),1154,5,3,-,-,1.8,68.9,2.2,-,6.59
185,Loris Brogno,Sparta Rotterdam,25,16(6),1340,2,3,3,-,1.6,80.2,0.1,-,6.59
186,Jeroen van der Lely,Twente,22,15(6),1538,1,1,1,-,-,72.7,0.5,-,6.59
187,Jesper Drost,FC Groningen,25,19(11),1823,3,6,-,-,0.9,71.5,0.6,1,6.57
188,Khalid Karami,Excelsior,28,26(1),2353,1,2,1,-,0.4,75,0.4,-,6.57
189,Ajdin Hrustic,FC Groningen,21,14(4),1100,1,1,1,1,1.4,84.1,0.4,-,6.57
190,Erik Falkenburg,ADO Den Haag,30,19(12),1682,5,1,-,-,1.4,72.1,1.8,-,6.56
181,Brad Jones,Feyenoord,36,31,2790,-,-,1,-,-,58.8,0.3,-,6.60
182,Joey Pelupessy,Heracles,25,18,1589,-,1,2,-,0.7,87.8,1.8,-,6.60
183,Jerold Promes,VVV-Venlo,34,28(2),2232,1,-,3,1,0.3,82.8,1.8,-,6.60
184,Piotr Parzyszek,PEC Zwolle,24,15(8),1154,5,3,-,-,1.8,68.9,2.2,-,6.59
185,Loris Brogno,Sparta Rotterdam,25,16(6),1340,2,3,3,-,1.6,80.2,0.1,-,6.59
186,Jeroen van der Lely,Twente,22,15(6),1538,1,1,1,-,-,72.7,0.5,-,6.59
187,Jesper Drost,FC Groningen,25,19(11),1823,3,6,-,-,0.9,71.5,0.6,1,6.57
188,Khalid Karami,Excelsior,28,26(1),2353,1,2,1,-,0.4,75,0.4,-,6.57
189,Ajdin Hrustic,FC Groningen,21,14(4),1100,1,1,1,1,1.4,84.1,0.4,-,6.57
190,Erik Falkenburg,ADO Den Haag,30,19(12),1682,5,1,-,-,1.4,72.1,1.8,-,6.56
191,Wout Droste,Heracles,29,15(4),1406,-,-,3,-,0.1,81.7,0.9,-,6.55
192,Michel Breuer,Sparta Rotterdam,38,15(2),1291,-,1,-,-,0.3,73.4,1.9,-,6.54
193,Ramon Leeuwin,FC Utrecht,30,28(1),2430,1,-,1,-,0.4,86.2,2.2,-,6.53
194,Mohamed El Hankouri,Willem II,20,13(8),1221,-,3,-,-,0.6,74,0.6,-,6.53
195,Dries Wuytens,Heracles,27,15(3),1433,1,-,2,-,0.2,82.3,1.9,-,6.53
196,Pelle van Amersfoort,SC Heerenveen,22,14(9),1276,3,2,1,-,0.9,68,2.7,-,6.52
197,Martin Hansen,SC Heerenveen,27,25,2154,-,-,1,-,-,64.6,0.3,1,6.52
198,Paolo Fernandes,NAC Breda,19,8(17),925,2,-,1,-,1.2,81.3,-,-,6.52
199,Jannes Vansteenkiste,Roda,25,26(1),2249,2,2,2,-,0.3,72,1.3,-,6.52
200,Thomas Lam,Twente,24,28,2509,3,1,11,-,1.2,80.8,1.5,1,6.51
191,Wout Droste,Heracles,29,15(4),1406,-,-,3,-,0.1,81.7,0.9,-,6.55
192,Michel Breuer,Sparta Rotterdam,38,15(2),1291,-,1,-,-,0.3,73.4,1.9,-,6.54
193,Ramon Leeuwin,FC Utrecht,30,28(1),2430,1,-,1,-,0.4,86.2,2.2,-,6.53
194,Mohamed El Hankouri,Willem II,20,13(8),1221,-,3,-,-,0.6,74,0.6,-,6.53
195,Dries Wuytens,Heracles,27,15(3),1433,1,-,2,-,0.2,82.3,1.9,-,6.53
196,Pelle van Amersfoort,SC Heerenveen,22,14(9),1276,3,2,1,-,0.9,68,2.7,-,6.52
197,Martin Hansen,SC Heerenveen,27,25,2154,-,-,1,-,-,64.6,0.3,1,6.52
198,Paolo Fernandes,NAC Breda,19,8(17),925,2,-,1,-,1.2,81.3,-,-,6.52
199,Jannes Vansteenkiste,Roda,25,26(1),2249,2,2,2,-,0.3,72,1.3,-,6.52
200,Thomas Lam,Twente,24,28,2509,3,1,11,-,1.2,80.8,1.5,1,6.51
201,Ralf Seuntjens,VVV-Venlo,29,31(1),2745,3,2,5,1,1.2,72.4,2.1,-,6.49
202,Rai Vloet,NAC Breda,23,25(6),2292,4,1,7,-,1.9,80.2,1.8,1,6.48
203,Reuven Niemeijer,Heracles,23,22(3),1775,8,2,2,-,1.4,76.3,0.5,1,6.48
204,Jeffry Fortes,Excelsior,29,17(11),1700,-,-,7,-,0.3,77.8,1.2,1,6.48
205,Reza Ghoochannejhad,SC Heerenveen,30,30(5),2509,9,1,3,-,1.8,69.8,1,-,6.48
206,Stanley Elbers,Excelsior,26,23(1),1950,3,3,2,1,1.5,80.8,0.4,-,6.46
207,Joris van Overeem,AZ Alkmaar,24,16(9),1426,2,2,1,-,0.8,80.8,0.1,-,6.46
208,Rick Dekker,PEC Zwolle,23,27(3),2342,-,1,4,-,0.3,84.9,0.7,-,6.46
209,Sebastian Jakubiak,Heracles,24,11(7),982,1,1,-,-,0.3,89.9,0.4,-,6.46
210,Siem de Jong,Ajax,29,4(17),556,4,1,-,1,0.8,75,0.5,-,6.45
201,Ralf Seuntjens,VVV-Venlo,29,31(1),2745,3,2,5,1,1.2,72.4,2.1,-,6.49
202,Rai Vloet,NAC Breda,23,25(6),2292,4,1,7,-,1.9,80.2,1.8,1,6.48
203,Reuven Niemeijer,Heracles,23,22(3),1775,8,2,2,-,1.4,76.3,0.5,1,6.48
204,Jeffry Fortes,Excelsior,29,17(11),1700,-,-,7,-,0.3,77.8,1.2,1,6.48
205,Reza Ghoochannejhad,SC Heerenveen,30,30(5),2509,9,1,3,-,1.8,69.8,1,-,6.48
206,Stanley Elbers,Excelsior,26,23(1),1950,3,3,2,1,1.5,80.8,0.4,-,6.46
207,Joris van Overeem,AZ Alkmaar,24,16(9),1426,2,2,1,-,0.8,80.8,0.1,-,6.46
208,Rick Dekker,PEC Zwolle,23,27(3),2342,-,1,4,-,0.3,84.9,0.7,-,6.46
209,Sebastian Jakubiak,Heracles,24,11(7),982,1,1,-,-,0.3,89.9,0.4,-,6.46
210,Siem de Jong,Ajax,29,4(17),556,4,1,-,1,0.8,75,0.5,-,6.45
211,Giovanni Korte,NAC Breda,24,17(8),1459,3,-,5,-,1.4,77.8,0.5,-,6.45
212,Henk Veerman,SC Heerenveen,27,8(25),1135,4,3,2,-,1.5,59.6,2.4,1,6.45
213,Lucas Woudenberg,SC Heerenveen,24,17(6),1667,1,1,4,-,0.2,78.3,0.7,-,6.44
214,Deroy Duarte,Sparta Rotterdam,18,14(11),1487,3,1,-,-,1.1,77.5,0.7,-,6.44
215,Damian van Bruggen,VVV-Venlo,22,15(11),1490,2,-,2,-,0.2,76.1,1.7,-,6.43
216,Adnane Tighadouini,Twente,25,10(14),1098,2,-,1,-,1.5,75.1,0.5,-,6.43
217,Craig Goodwin,Sparta Rotterdam,26,12(8),1148,2,-,2,-,1,76.8,0.3,-,6.43
218,Remko Pasveer,Vitesse,34,26,2340,-,-,1,-,-,56.8,0.1,-,6.43
219,Luciano Slagveer,Twente,24,11(8),1014,1,1,-,-,0.6,70.5,1.1,-,6.42
220,Donny Gorter,ADO Den Haag,29,9(9),787,-,1,3,-,0.2,77.2,0.8,-,6.42
211,Giovanni Korte,NAC Breda,24,17(8),1459,3,-,5,-,1.4,77.8,0.5,-,6.45
212,Henk Veerman,SC Heerenveen,27,8(25),1135,4,3,2,-,1.5,59.6,2.4,1,6.45
213,Lucas Woudenberg,SC Heerenveen,24,17(6),1667,1,1,4,-,0.2,78.3,0.7,-,6.44
214,Deroy Duarte,Sparta Rotterdam,18,14(11),1487,3,1,-,-,1.1,77.5,0.7,-,6.44
215,Damian van Bruggen,VVV-Venlo,22,15(11),1490,2,-,2,-,0.2,76.1,1.7,-,6.43
216,Adnane Tighadouini,Twente,25,10(14),1098,2,-,1,-,1.5,75.1,0.5,-,6.43
217,Craig Goodwin,Sparta Rotterdam,26,12(8),1148,2,-,2,-,1,76.8,0.3,-,6.43
218,Remko Pasveer,Vitesse,34,26,2340,-,-,1,-,-,56.8,0.1,-,6.43
219,Luciano Slagveer,Twente,24,11(8),1014,1,1,-,-,0.6,70.5,1.1,-,6.42
220,Donny Gorter,ADO Den Haag,29,9(9),787,-,1,3,-,0.2,77.2,0.8,-,6.42
221,Marco Rojas,SC Heerenveen,26,7(15),822,4,-,-,-,1,71.6,-,1,6.41
222,Peter van Ooijen,Heracles,26,18(5),1487,1,-,3,1,0.9,80.2,0.1,-,6.40
223,Johnatan Opoku,VVV-Venlo,28,4(14),625,1,-,-,-,1.1,60.9,2.3,1,6.40
224,Erik Bakker,PEC Zwolle,28,14(6),1269,1,2,4,-,0.5,82.4,1.7,-,6.40
225,Giovanni Troupee,FC Utrecht,20,8(9),870,-,1,-,1,0.1,79,1.5,-,6.39
226,Leroy Labylle,VVV-Venlo,27,13(8),1155,-,-,2,-,0.2,73.6,0.7,-,6.37
227,Jinty Caenepeel,Excelsior,21,8(9),886,2,1,2,-,0.5,70.6,0.2,-,6.36
228,Melvyn Lorenzen,ADO Den Haag,23,8(13),787,1,-,-,-,0.7,71.2,0.6,-,6.34
229,Ragnar Ache,Sparta Rotterdam,19,4(15),508,2,-,-,-,1,52.6,2.6,-,6.34
230,Lassana Faye,Vitesse,19,19(1),1602,-,1,3,-,0.1,76.8,0.9,-,6.34
221,Marco Rojas,SC Heerenveen,26,7(15),822,4,-,-,-,1,71.6,-,1,6.41
222,Peter van Ooijen,Heracles,26,18(5),1487,1,-,3,1,0.9,80.2,0.1,-,6.40
223,Johnatan Opoku,VVV-Venlo,28,4(14),625,1,-,-,-,1.1,60.9,2.3,1,6.40
224,Erik Bakker,PEC Zwolle,28,14(6),1269,1,2,4,-,0.5,82.4,1.7,-,6.40
225,Giovanni Troupee,FC Utrecht,20,8(9),870,-,1,-,1,0.1,79,1.5,-,6.39
226,Leroy Labylle,VVV-Venlo,27,13(8),1155,-,-,2,-,0.2,73.6,0.7,-,6.37
227,Jinty Caenepeel,Excelsior,21,8(9),886,2,1,2,-,0.5,70.6,0.2,-,6.36
228,Melvyn Lorenzen,ADO Den Haag,23,8(13),787,1,-,-,-,0.7,71.2,0.6,-,6.34
229,Ragnar Ache,Sparta Rotterdam,19,4(15),508,2,-,-,-,1,52.6,2.6,-,6.34
230,Lassana Faye,Vitesse,19,19(1),1602,-,1,3,-,0.1,76.8,0.9,-,6.34
231,Zakaria El Azzouzi,Excelsior,22,11(6),953,2,-,-,-,1.4,79.8,0.5,-,6.34
232,Gyliano van Velzen,Roda,24,5(17),764,-,1,-,-,0.8,74.1,0.2,-,6.34
233,Lukas Gortler,FC Utrecht,23,7(20),851,1,2,3,1,0.9,66.7,0.9,-,6.33
234,Elson Hooi,ADO Den Haag,26,10(20),1206,2,1,1,-,0.7,75.8,0.1,-,6.32
235,Frederik Holst,Sparta Rotterdam,23,28,2493,-,1,2,-,0.3,69.9,0.8,-,6.32
236,Mario Engels,Roda,24,10(11),997,1,2,1,-,1,82.3,0.1,-,6.31
237,David Jensen,FC Utrecht,26,37,3330,-,-,1,-,-,61.5,0.3,-,6.30
238,Ali Messaoud,Excelsior,27,22(9),1770,4,5,5,-,0.8,79.8,0.4,1,6.30
239,Jorn Vancamp,Roda,19,12(12),998,4,3,-,-,0.8,68.3,0.5,-,6.27
240,Derrick Luckassen,PSV Eindhoven,22,9(10),877,-,-,3,1,0.5,84.5,1,-,6.27
231,Zakaria El Azzouzi,Excelsior,22,11(6),953,2,-,-,-,1.4,79.8,0.5,-,6.34
232,Gyliano van Velzen,Roda,24,5(17),764,-,1,-,-,0.8,74.1,0.2,-,6.34
233,Lukas Gortler,FC Utrecht,23,7(20),851,1,2,3,1,0.9,66.7,0.9,-,6.33
234,Elson Hooi,ADO Den Haag,26,10(20),1206,2,1,1,-,0.7,75.8,0.1,-,6.32
235,Frederik Holst,Sparta Rotterdam,23,28,2493,-,1,2,-,0.3,69.9,0.8,-,6.32
236,Mario Engels,Roda,24,10(11),997,1,2,1,-,1,82.3,0.1,-,6.31
237,David Jensen,FC Utrecht,26,37,3330,-,-,1,-,-,61.5,0.3,-,6.30
238,Ali Messaoud,Excelsior,27,22(9),1770,4,5,5,-,0.8,79.8,0.4,1,6.30
239,Jorn Vancamp,Roda,19,12(12),998,4,3,-,-,0.8,68.3,0.5,-,6.27
240,Derrick Luckassen,PSV Eindhoven,22,9(10),877,-,-,3,1,0.5,84.5,1,-,6.27
241,Jordy Croux,Willem II,24,9(13),811,1,-,2,-,0.6,73.7,0.1,1,6.24
242,Anouar Hadouir,Excelsior,35,6(17),568,1,1,1,1,0.3,76.1,0.3,-,6.24
243,Terell Ondaan,PEC Zwolle,24,7(21),997,1,-,-,-,1,71.4,0.6,-,6.20
244,Kevin Vermeulen,Excelsior,27,10(15),921,-,1,3,-,0.6,65.2,0.4,-,6.17
245,Luc Castaignos,Vitesse,25,8(22),970,2,1,6,-,0.7,65,0.9,-,6.16
241,Jordy Croux,Willem II,24,9(13),811,1,-,2,-,0.6,73.7,0.1,1,6.24
242,Anouar Hadouir,Excelsior,35,6(17),568,1,1,1,1,0.3,76.1,0.3,-,6.24
243,Terell Ondaan,PEC Zwolle,24,7(21),997,1,-,-,-,1,71.4,0.6,-,6.20
244,Kevin Vermeulen,Excelsior,27,10(15),921,-,1,3,-,0.6,65.2,0.4,-,6.17
245,Luc Castaignos,Vitesse,25,8(22),970,2,1,6,-,0.7,65,0.9,-,6.16
241,Jordy Croux,Willem II,24,9(13),811,1,-,2,-,0.6,73.7,0.1,1,6.24
242,Anouar Hadouir,Excelsior,35,6(17),568,1,1,1,1,0.3,76.1,0.3,-,6.24
243,Terell Ondaan,PEC Zwolle,24,7(21),997,1,-,-,-,1,71.4,0.6,-,6.20
244,Kevin Vermeulen,Excelsior,27,10(15),921,-,1,3,-,0.6,65.2,0.4,-,6.17
245,Luc Castaignos,Vitesse,25,8(22),970,2,1,6,-,0.7,65,0.9,-,6.16
1,Adama Traore,Middlesbrough,22,28(8),2427,5,10,3,2,1.5,72.1,1,14,7.80
2,Curtis Davies,Derby,33,48,4313,1,3,2,-,0.5,77.9,5.9,10,7.58
3,Sean Morrison,Cardiff,27,38(1),3330,7,1,5,-,1.3,55.5,7.2,6,7.56
4,Aleksandar Mitrovic,Fulham,23,18(2),1653,12,1,3,-,4.1,77.1,4.1,6,7.52
5,Willy Boly,Wolverhampton Wanderers,27,36,3200,3,2,2,-,0.5,83,4.1,8,7.52
6,Sol Bamba,Cardiff,33,43(3),3851,4,1,7,-,0.8,63.8,4.2,8,7.51
7,James Maddison,Norwich,21,42(2),3643,14,8,7,-,2.6,86.2,0.3,8,7.43
8,Barry Douglas,Wolverhampton Wanderers,28,38(1),3393,5,14,6,-,0.7,80.3,2.5,4,7.41
9,Shaun Hutchinson,Millwall,27,46,4140,2,1,6,-,0.7,58.5,6.1,4,7.40
10,Robert Snodgrass,Aston Villa,30,41(2),3429,7,14,11,-,1.8,73,1.9,7,7.38
11,Jack Grealish,Aston Villa,22,22(8),2130,3,6,6,-,2.1,85.6,0.5,3,7.36
12,Joe Bryan,Bristol City,24,42(1),3740,5,3,11,-,1.1,70.4,1.7,4,7.34
13,Tom Cairney,Fulham,27,33(4),3066,6,5,3,-,1.6,91.5,0.8,1,7.33
14,George Saville,Millwall,25,44,3947,10,1,9,-,1.8,71.5,2.9,5,7.32
15,Massimo Luongo,Queens Park Rangers,25,38(1),3389,6,3,10,-,1.7,71.6,2.6,4,7.32
16,Diogo Jota,Wolverhampton Wanderers,21,43(1),3632,17,5,9,-,2.7,78,0.9,2,7.32
17,Luke Freeman,Queens Park Rangers,26,43(2),3849,5,12,9,-,2.4,76.1,0.7,4,7.31
18,Kieffer Moore,Barnsley,25,16(4),1474,4,4,3,-,3.1,58.1,9.6,3,7.29
19,Joe Ralls,Cardiff,24,37,3321,7,4,8,-,1.5,66.9,1.9,2,7.29
20,David Junior Hoilett,Cardiff,28,44(2),3808,9,11,2,-,2,69.9,1,7,7.28
11,Jack Grealish,Aston Villa,22,22(8),2130,3,6,6,-,2.1,85.6,0.5,3,7.36
12,Joe Bryan,Bristol City,24,42(1),3740,5,3,11,-,1.1,70.4,1.7,4,7.34
13,Tom Cairney,Fulham,27,33(4),3066,6,5,3,-,1.6,91.5,0.8,1,7.33
14,George Saville,Millwall,25,44,3947,10,1,9,-,1.8,71.5,2.9,5,7.32
15,Massimo Luongo,Queens Park Rangers,25,38(1),3389,6,3,10,-,1.7,71.6,2.6,4,7.32
16,Diogo Jota,Wolverhampton Wanderers,21,43(1),3632,17,5,9,-,2.7,78,0.9,2,7.32
17,Luke Freeman,Queens Park Rangers,26,43(2),3849,5,12,9,-,2.4,76.1,0.7,4,7.31
18,Kieffer Moore,Barnsley,25,16(4),1474,4,4,3,-,3.1,58.1,9.6,3,7.29
19,Joe Ralls,Cardiff,24,37,3321,7,4,8,-,1.5,66.9,1.9,2,7.29
20,David Junior Hoilett,Cardiff,28,44(2),3808,9,11,2,-,2,69.9,1,7,7.28
21,Gary Madine,Bolton,27,28,2470,10,5,7,-,2.7,58.2,8.8,4,7.26
22,Bruno Ecuele Manga,Cardiff,29,35(3),3183,-,2,4,-,0.4,61.1,3.3,2,7.25
23,Adam Webster,Ipswich,23,25(3),2287,-,2,6,-,0.2,58.7,5.3,6,7.24
24,Ollie Watkins,Brentford,22,39(6),3531,10,4,8,-,3.1,78.7,1.5,8,7.24
25,Sammy Ameobi,Bolton,26,33(2),2910,4,2,8,-,2,64.6,3.2,4,7.23
26,Ruben Neves,Wolverhampton Wanderers,21,42,3622,6,1,11,1,2.2,84.9,0.9,3,7.20
27,Matt Targett,Fulham,22,20(1),1721,1,2,3,-,0.7,79.5,1.2,4,7.20
28,Cyrus Christie,Middlesbrough,25,24(1),2122,1,4,7,-,0.7,78.6,2.1,3,7.20
29,Albert Adomah,Aston Villa,30,37(5),3115,14,5,1,-,1.4,77.3,0.9,8,7.18
30,Shaun Williams,Millwall,31,30(5),2758,2,3,5,-,0.9,70.7,2.5,1,7.17
21,Gary Madine,Bolton,27,28,2470,10,5,7,-,2.7,58.2,8.8,4,7.26
22,Bruno Ecuele Manga,Cardiff,29,35(3),3183,-,2,4,-,0.4,61.1,3.3,2,7.25
23,Adam Webster,Ipswich,23,25(3),2287,-,2,6,-,0.2,58.7,5.3,6,7.24
24,Ollie Watkins,Brentford,22,39(6),3531,10,4,8,-,3.1,78.7,1.5,8,7.24
25,Sammy Ameobi,Bolton,26,33(2),2910,4,2,8,-,2,64.6,3.2,4,7.23
26,Ruben Neves,Wolverhampton Wanderers,21,42,3622,6,1,11,1,2.2,84.9,0.9,3,7.20
27,Matt Targett,Fulham,22,20(1),1721,1,2,3,-,0.7,79.5,1.2,4,7.20
28,Cyrus Christie,Middlesbrough,25,24(1),2122,1,4,7,-,0.7,78.6,2.1,3,7.20
